DATE,CBBTCUSD,SP500,VIXCLS
04/10/2019,8159.71,3117.86,31.77
05/10/2019,8152.99,3131.29,31.37
06/10/2019,7862.67,3050.33,33.84
07/10/2019,8224.82,3083.76,32.22
08/10/2019,8186.73,3009.05,34.73
09/10/2019,8600,3053.24,31.78
10/10/2019,8589.01,3100.29,30.43
11/10/2019,8263.64,3115.86,28.62
12/10/2019,8304.1,3130.01,27.68
13/10/2019,8280.01,.,.
14/10/2019,8363,3179.72,27.94
15/10/2019,8156.52,3145.32,29.43
16/10/2019,7993,3169.94,28.08
17/10/2019,8077,3152.05,29.26
18/10/2019,7954.16,3185.04,27.29
19/10/2019,7965.27,3155.22,32.19
20/10/2019,8235.44,3197.52,29.52
21/10/2019,8214.58,3226.56,27.76
22/10/2019,8008.04,3215.57,28
23/10/2019,7473.42,3224.73,25.68
24/10/2019,7439.29,3251.84,24.46
